Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
1.012,-0.073235686,-0.101198402,-0.002870426,,,
1.016,-0.073235686,-0.101198402,-0.002911151,,,
1.02,-0.073235686,-0.101198402,-0.002951809,,,
1.024,-0.073235686,-0.101198402,-0.002992399,,,
1.028,-0.073235686,-0.101198402,-0.003032922,,,
1.032,-0.073235686,-0.101198402,-0.003073378,,,
1.036,-0.073235686,-0.101198402,-0.003113766,,,
1.04,-0.073235686,-0.101198402,-0.003154088,,,
1.044,-0.073235686,-0.101198402,-0.003194342,,,
1.048,-0.073235686,-0.101198402,-0.00323453,,,
1.052,-0.073235686,-0.101198402,-0.003274651,,,
1.056,-0.073235686,-0.101198402,-0.003314705,,,
1.06,-0.073235686,0.898801598,-0.002905175,,,
1.064,1.926764314,-0.101198402,-0.002945843,,,
1.068,-0.073235686,-0.101198402,-0.002986443,,,
1.072,-0.073235686,-0.101198402,-0.003026976,,,
1.076,-0.073235686,0.898801598,-0.002617924,,,
1.08,-0.073235686,-0.101198402,-0.002659068,,,
1.084,-0.073235686,-0.101198402,-0.002700144,,,
1.088,-0.073235686,0.898801598,-0.002291635,,,
1.092,-0.073235686,-0.101198402,-0.002333321,,,
1.096,-0.073235686,-0.101198402,-0.002374938,,,
1.1,-0.073235686,-0.101198402,-0.002416486,,,
1.104,-0.073235686,0.898801598,-0.002008447,,,
1.108,-0.073235686,-0.101198402,-0.002050603,,,
1.112,-0.073235686,-0.101198402,-0.00209269,,,
1.116,-0.073235686,-0.101198402,-0.002134706,,,
1.12,-0.073235686,0.898801598,-0.001727135,,,
1.124,-0.073235686,-0.101198402,-0.001769758,,,
1.128,-0.073235686,-0.101198402,-0.001812311,,,
1.132,-0.073235686,-0.101198402,-0.001854793,,,
1.136,-0.073235686,-0.101198402,-0.001897204,,,
1.14,-0.073235686,-0.101198402,-0.001939545,,,
1.144,-0.073235686,-0.101198402,-0.001981816,,,
1.148,-0.073235686,-0.101198402,-0.002024016,,,
1.152,-0.073235686,-0.101198402,-0.002066147,,,
1.156,-0.073235686,-0.101198402,-0.002108207,,,
1.16,-0.073235686,-0.101198402,-0.002150198,,,
1.164,-0.073235686,-0.101198402,-0.002192119,,,
1.168,0.926764314,-0.101198402,-0.002233971,,,
1.172,-0.073235686,-0.101198402,-0.002275753,,,
1.176,-0.073235686,-0.101198402,-0.002317465,,,
1.18,-0.073235686,-0.101198402,-0.002359109,,,
1.184,-0.073235686,-0.101198402,-0.002400683,,,
1.188,-0.073235686,-0.101198402,-0.002442188,,,
1.192,-0.073235686,-0.101198402,-0.002483624,,,
1.196,-0.073235686,-0.101198402,-0.002524992,,,
1.2,-0.073235686,-0.101198402,-0.002566291,,,
1.204,-0.073235686,-0.101198402,-0.002607521,,,
1.208,-0.073235686,0.898801598,-0.002199165,,,
1.212,-0.073235686,-0.101198402,-0.002241005,,,
1.216,-0.073235686,-0.101198402,-0.002282775,,,
1.22,-0.073235686,0.898801598,-0.001874958,,,
1.224,-0.073235686,-0.101198402,-0.001917336,,,
1.228,-0.073235686,-0.101198402,-0.001959643,,,
1.232,-0.073235686,0.898801598,-0.001552363,,,
1.236,0.926764314,-0.101198402,-0.001595276,,,
1.24,-0.073235686,-0.101198402,-0.001638119,,,
1.244,-0.073235686,-0.101198402,-0.00168089,,,
1.248,-0.073235686,-0.101198402,-0.00172359,,,
1.252,-0.073235686,-0.101198402,-0.001766219,,,
